path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;comments;editor_id
480593;;;;Неспешные шаги административной реформы в Японии;2002;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;Проблемы Дальнего Востока, 30.12.2002;«Проблемы Дальнего Востока»;;2002.12.30;журнал;ПК письменных текстов;manual;;1
515048;;;;Защитить будущее;2002;публицистика|нехудожественная;;заметка;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;100% Здоровья, 2002.12.11;«100% здоровья»;;2002.11.11;журнал;ПК письменных текстов;manual;;1
13125115;Сергей Викторов;муж;;Уравнение со всеми известными;1999;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 1999, № 22;«Коммерсантъ-Власть»;;1999;журнал;ПК письменных текстов;manual;;1
331652;;;;«Сердало» -- значит свет;2003;публицистика|нехудожественная;;заметка;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Жизнь национальностей», 18.06.2003;«Жизнь национальностей»;;2003.06.18;журнал;ПК письменных текстов;manual;;1
23161031;;;;Они о нас;2002;публицистика|нехудожественная;;обзор;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 2002, № 11;«Коммерсантъ-Власть»;;2002;журнал;ПК письменных текстов;manual;;1
00051091;Андрей Колесников;муж;;Бублики Мондео;2002;публицистика|нехудожественная;;дневник;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Автопилот», 15.01.2002;«Автопилот»;;2002.01.15;журнал;ПК письменных текстов;manual;;1
517137;;;;От совершенствования товара к интенсификации продаж;2002;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Витрина читающей России», 25.10.2002;«Витрина читающей России»;;2002.10.25;журнал;ПК письменных текстов;manual;;1
517666;;;;Вирусные гепатиты (материалы доложены на 8-м съезде Всероссийского общества эпидемиологов, микробиологов и паразитологов);2002;учебно-научная|нехудожественная;;статья;наука и технологии|здоровье и медицина;;специальный;н-возраст;высокий;средняя;«Вопросы вирусологии», 02.12.2002;«Вопросы вирусологии»;;2002.12.02;журнал;ПК письменных текстов;manual;;1
518154;;;;О создании системы информационного обеспечения органов местного самоуправления в Нижегородской области;2004;учебно-научная|нехудожественная;;статья;наука и технологии|бизнес, коммерция, экономика, финансы;;специальный;н-возраст;н-уровень;средняя;Вопросы статистики,2004,N006;«Вопросы статистики»;;2004;журнал;ПК письменных текстов;manual;;2
491357;Эльвира Савкина;жен;;Если впрягаюсь, то основательно ;2002;публицистика|нехудожественная;;интервью;частная жизнь;;нейтральный;н-возраст;н-уровень;средняя;Дело (Самара), 20020503;«Дело» (Самара);;2002.05.03;газета;ПК письменных текстов;manual;;1
517004;;;;Новости;2002;публицистика|нехудожественная;;информационное сообщение;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Витрина читающей России», 02.08.2002;«Витрина читающей России»;;2002.08.02;журнал;ПК письменных текстов;manual;;1
10976544;;;;Дом - это место, где вас ждет покой и уют;2002;публицистика|нехудожественная;;аннотация;строительство и архитектура;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.05.2002;«Домовой»;;2002.05.04;журнал;ПК письменных текстов;manual;;1
517933;М. Э. Боцманова, Р. Д. Триггер;жен;;Изучение психологии подростка в лаборатории Д.Б. Эльконина;2004;учебно-научная|нехудожественная;;статья;наука и технологии|психология;;специальный;н-возраст;н-уровень;большая;«Вопросы психологии», 2004, №1;«Вопросы психологии»;;2004;журнал;ПК письменных текстов;manual;;2
aif_0129_5;Алексей Крашаков;муж;;Иностранцы «съедают» наши банки?;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 29.01.2003;«Аргументы и факты»;;2003.01.29;газета;ПК письменных текстов;manual;;1
aif_0129_4;Елена Семенова;жен;;Олигарх без галстука;2003;публицистика|нехудожественная;;интервью;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 29.01.2003;«Аргументы и факты»;;2003.01.29;газета;ПК письменных текстов;manual;;1
aif_0129_3;Максим Хуторной;муж;;Шарлатаны на вольном выпасе;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 29.01.2003;«Аргументы и факты»;;2003.01.29;газета;ПК письменных текстов;manual;;1
ant3_24;В. Г. Распутин;муж;1937;Новая профессия;1998;художественная;нежанровая проза;повесть;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Проза новой России: В 4 т. Т. 3. - М.: Вагриус, 2003;Проза новой России: В 4 т. Т. 3;«Вагриус»;2003;книга;ПК письменных текстов;manual;;3
494640;Маргарита Спиричева;жен;;Самогонщики беспокоят власть;2003;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;средняя;Богатей (Саратов), 20030410;«Богатей» (Саратов);;2003.04.10;газета;ПК письменных текстов;manual;;1
aif_0618_3;;;;Форум сторонников «Единой России»: Ответные наказы президенту;2003;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 18.06.2003;«Аргументы и факты»;;2003.06.18;газета;ПК письменных текстов;manual;;1
issue_2028;;;;И вкусно, и полезно;2003;публицистика|нехудожественная;;заметка;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
aif_0618_1;;;;Откуда слухи: Информационная война;2003;публицистика|нехудожественная;;комментарий;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 18.06.2003;«Аргументы и факты»;;2003.06.18;газета;ПК письменных текстов;manual;;1
zvt_0806_1;Александр Проханов;муж;1938;Как Ходорковскому пролезть сквозь игольное ушко;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Завтра», 06.08.2003;«Завтра»;;2003.08.06;газета;ПК письменных текстов;manual;;1
494797;Анастасия Гулина;жен;;Слух к чужой боли;2003;публицистика|нехудожественная;;статья;искусство и культура;;нейтральный;н-возраст;н-уровень;средняя;«Богатей» (Саратов), 20030911;«Богатей» (Саратов);;2003.09.11;газета;ПК письменных текстов;manual;;1
517915;;;;Модификация функциональной структуры действия при нарушении зрительного контроля.;2003;учебно-научная|нехудожественная;;статья;наука и технологии|психология;;специальный;н-возраст;н-уровень;большая;«Вопросы психологии», 2003, №6;«Вопросы психологии»;;2003;журнал;ПК письменных текстов;manual;;2
472886;Ольга Муравская;жен;;Пойманное слово.;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;Московский комсомолец в Сыктывкаре, 06.08.2003;«Московский комсомолец» в Сыктывкаре;;2003.08.06;газета;ПК письменных текстов;manual;;1
449379;;;;Рождественские гонки;2003;публицистика|нехудожественная;;заметка;спорт;;нейтральный;н-возраст;н-уровень;большая;«Марийская правда» (Йошкар-Ола), 10.01.2003;«Марийская правда» (Йошкар-Ола);;2003.01.10;газета;ПК письменных текстов;manual;;1
24232;Алексей Филиппов;муж;;Продавцы воздуха. Производственная тема-2002 в Новом драматическом театре;2002;публицистика|нехудожественная;;рецензия;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Известия», 23.09.2002;«Известия»;;2002.09.23;газета;ПК письменных текстов;manual;;1
518697;;;;Экологическое состояние р. Москвы на территории Раменского района Московской области;2004;учебно-научная|нехудожественная;;статья;наука и технологии|география;;специальный;н-возраст;н-уровень;большая;Геоинформатика, 2004, № 3;«Геоинформатика»;;2004;журнал;ПК письменных текстов;manual;;2
vmn_0806_2;Михаил Классон, Алексей Полухин;муж;;Бюджет-2004 - честный;2003;публицистика|нехудожественная;;комментарий;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Время МН», 06.08.2003;«Время МН»;;2003.08.06;газета;ПК письменных текстов;manual;;1
vmn_0806_3;Леонид Барков;муж;;Вице-премьера позвали в трущобы;2003;публицистика|нехудожественная;;отчет;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Время МН», 06.08.2003;«Время МН»;;2003.08.06;газета;ПК письменных текстов;manual;;1
gta_0620_02;;;;Борис Немцов: Кремль и есть правительство;2003;публицистика|нехудожественная;;интервью;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Газета», 20.06.2003;«Газета»;;2003.06.20;газета;ПК письменных текстов;manual;;1
issue_2256;;;;Когда светофор будет черно-белым?;2003;учебно-научная|нехудожественная;;статья;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 7;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
