path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;comments;editor_id
444441;;;;Омский мусорный абзац;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;Криминальная хроника, 10.06.2003;«Криминальная хроника»;;2003.06.10;газета;ПК письменных текстов;manual;;1
spring-1;Олег Тихомиров;муж;1934;Весенние страницы;2000;публицистика|нехудожественная;детская;заметка;природа;;нейтральный;детский;н-уровень;большая;http://murzilka.km.ru/ «Мурзилка», 2000, № 3;«Мурзилка»;;2000;журнал;ПК письменных текстов;manual;;1
10;Д. В. Семенов;муж;;Сенсационный кактус;2004;учебно-научная|нехудожественная;;статья;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;Первое сентября, 2004, № 14;«Первое сентября»;;2004;газета;ПК письменных текстов;manual;;2
dash10_33;;;;Я желанна. Разве это стыдно?;2004;публицистика|нехудожественная;;статья;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Даша», №10. -- ИД «Бурда»;«Даша»;ИД «Бурда»;2004;журнал;ПК письменных текстов;manual;;1
443941;Екатерина Баранова;жен;;Делай как я!;2003;публицистика|нехудожественная;;заметка;дом и домашнее хозяйство;;нейтральный;н-возраст;н-уровень;большая;«Сад своими руками», 15.07.2003;«Сад своими руками»;;2003.07.15;газета;ПК письменных текстов;manual;;1
30151;Леонид Семеняка;муж;;Как слеза. Российское правительство хочет быть прозрачным;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Известия», 17.02.2003;«Известия»;;2003.02.17;газета;ПК письменных текстов;manual;;1
zhanna;Андрей Геласимов;муж;1966;Жанна;2001;художественная;нежанровая проза;рассказ;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы. — М.: ОГИ, 2001;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы;Издательство О. Г. И.;2001;книга;ПК письменных текстов;manual;;3
10977330;Сергей Мазур;муж;;Кто в доме хозяин;2002;публицистика|нехудожественная;;интервью;право;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.08.2002;«Домовой»;;2002.08.04;журнал;ПК письменных текстов;manual;;1
22592319;Павел Черников;муж;;Россия в цифрах;2002;публицистика|нехудожественная;;статья;наука и технологии|статистика;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 2002, № 4;«Коммерсантъ-Власть»;;2002;журнал;ПК письменных текстов;manual;;1
tram907_08;;;;Звуковые стихи;1990;публицистика|нехудожественная;;заметка;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Трамвай», 1990, №7;«Трамвай»;;1990;журнал;ПК письменных текстов;manual;;1
issue_2378;Сергей Смирнов;муж;;Конец серебряного века. Anno Domini 180;2003;учебно-научная|нехудожественная;;статья;наука и технологии|история;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 9;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;заполнить source;2
1859;Александр Садчиков;муж;;Разведенный и курящий. Судьи станут здоровыми, а адвокаты -- свободными;2001;публицистика|нехудожественная;;комментарий;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Известия», 28.06.2001;«Известия»;;2001.06.28;газета;ПК письменных текстов;manual;;1
10974304;Ксения Махненко;жен;;Обращение;2002;публицистика|нехудожественная;;анонс;досуг, зрелища и развлечения;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.03.2002;«Домовой»;;2002.03.04;журнал;ПК письменных текстов;manual;;1
in_zhizn;Сергей Довлатов;муж;1941;Иная жизнь;1984;художественная;нежанровая проза;повесть;;Россия/СССР: 1960-1980-е|Европа: 2-я пол. XX в.;нейтральный;н-возраст;н-уровень;большая;http://www.sergeidovlatov.com/books/in_zhizn.html;Собрание прозы в 3 т. Т.2;Лимбус-пресс;1993;книга;ПК письменных текстов;manual;;1
kra;Алексей Краевский;муж;;Журналы и поклонники;2003;публицистика|нехудожественная;;статья;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Октябрь», 2003, №7 //«Журнальный зал в РЖ, «Русский журнал»;«Октябрь»;;2003;журнал;ПК письменных текстов;manual;;2
10883;Сергей Потресов;муж;;Год вирусного беспредела. Средневековье Интернета -- эпидемии уносят миллионы долларов;2001;публицистика|нехудожественная;;статья;наука и технологии;;нейтральный;н-возраст;н-уровень;большая;«Известия», 05.12.2001;«Известия»;;2001.12.05;газета;ПК письменных текстов;manual;;1
zaschita;Э. Коломейцева, А. Морыганов;жен|муж;;Новые экологически безопасные замедлители горения и их применение для текстильных материалов из целлюлозных, полиэфирных и смешанных волокон;2003;учебно-научная|нехудожественная;;статья;наука и технологии|производство|легкая и пищевая промышленность;;специальный;н-возраст;н-уровень;большая;«Текстиль», 2003, 1 (3);«Текстиль»;;2003;журнал;ПК письменных текстов;manual;;2
aif_0723_2;;;;Что там зреет на селе?;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 23.07.2003;«Аргументы и факты»;;2003.07.23;газета;ПК письменных текстов;manual;;1
ant2_03;Борис Екимов;муж;1938;Фетисыч;1996;художественная;нежанровая проза;рассказ;;Россия: постсоветский период;региональный;н-возраст;н-уровень;большая;Новый Мир, 1996, №2;«Новый Мир»;;1996;журнал;ПК письменных текстов;manual;;3
328854;Вера Криппа;жен;;Богатырская сказка;2002;публицистика|нехудожественная;;заметка;дом и домашнее хозяйство;;нейтральный;н-возраст;н-уровень;большая;«Вечерняя Москва», 14.03.2002;«Вечерняя Москва»;;2002.03.14;газета;ПК письменных текстов;manual;;1
457228;;;;Поздравляем с юбилеем!;2001;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Наука в Сибири» (Новосибирск), 07.03.2001;«Наука в Сибири» (Новосибирск);;2001.03.07;газета;ПК письменных текстов;manual;;1
517236;;;;Новости месяца;2002;публицистика|нехудожественная;;заметка;армия и вооруженные конфликты|бизнес, коммерция, экономика, финансы;;специальный;н-возраст;профессиональный;большая;Воздушно-космическая оборона, 2002, № 3 (6);«Воздушно-космическая оборона»;;2002;журнал;ПК письменных текстов;manual;;1
520855;В. Э. Карпов, Т. В. Мещерякова;муж|жен;;Об автоматизации нетворческих литературных процессов;2004;учебно-научная|нехудожественная;;статья;наука и технологии|информатика;;специальный;н-возраст;высокий;средняя;«Информационные технологии», 2004, № 8;«Информационные технологии»;;2004;журнал;ПК письменных текстов;manual;;1
328980;;;;Нансен столице ближе матери;2002;публицистика|нехудожественная;;комментарий;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Вечерняя Москва», 16.05.2002;«Вечерняя Москва»;;2002.05.16;газета;ПК письменных текстов;manual;;1
519760;М. А. Зеликман;;;Линейные вихри в трехмерной упорядоченной джозефсоновской среде;2005;учебно-научная|нехудожественная;;аннотация;наука и технологии|физика;;специальный;н-возраст;высокий;средняя;Журнал технической физики, 2005, №1;«Журнал технической физики»;;2005;журнал;ПК письменных текстов;manual;;2
515007;Елизавета Кольцова;жен;;Наркоз: страхи и реальность;2002;публицистика|нехудожественная;;статья;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;100% Здоровья, 2002.11.11;«100% здоровья»;;2002.11.11;журнал;ПК письменных текстов;manual;;1
518290;;;;Национальное богатство республики Бурятия;2004;учебно-научная|нехудожественная;;статья;наука и технологии|бизнес, коммерция, экономика, финансы;;специальный;н-возраст;н-уровень;средняя;Вопросы статистики,2004,N012;«Вопросы статистики»;;2004;журнал;ПК письменных текстов;manual;;2
strtlamp;И. Грекова;жен;1907;Под фонарем;1963;художественная;нежанровая проза;рассказ;;Россия/СССР: 1941-1945;нейтральный;н-возраст;н-уровень;большая;И. Грекова. На испытаниях.- М.: Сов. писатель, 1990;На испытаниях;«Советский писатель»;1990;книга;ПК письменных текстов;manual;;1
06961000;Ольга Демьянова;жен;;Вот, например;1997;публицистика|нехудожественная;;статья;криминал;;нейтральный;н-возраст;н-уровень;большая;«Столица», 10.06.1997;«Столица»;;1997.06.10;журнал;ПК письменных текстов;manual;;1
ruchnozh;Ю. О. Домбровский;муж;1909;Ручка, ножка, огуречик;1977;художественная;нежанровая проза;рассказ;;Россия/СССР: 1960-1980-е;нейтральный;н-возраст;н-уровень;большая;Домбровский Ю.О. Собр. соч.: В 6 т. Т.3. М.: Терра, 1992;Домбровский Ю.О. Собр. соч.: В 6 т. Т.3;Терра;1992;книга;ПК письменных текстов;manual;;3
10976271;;;;Солнечный круг, пальмы вокруг...;2002;публицистика|нехудожественная;;обзор;производство;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.05.2002;«Домовой»;;2002.05.04;журнал;ПК письменных текстов;manual;;1
518234;;;;Официальные документы;2004;официально-деловая|нехудожественная;;постановление;бизнес, коммерция, экономика, финансы;;официальный;н-возраст;н-уровень;средняя;Вопросы статистики,2004,N010;«Вопросы статистики»;;2004;журнал;ПК письменных текстов;manual;;2
494731;Сергей Николаев;муж;;Благотворительные схемы;2003;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;средняя;Богатей (Саратов), 20030626;«Богатей» (Саратов);;2003.06.26;газета;ПК письменных текстов;manual;;1
24562;Елена Роткевич;жен;;Европа устала обсуждать Калининград;2002;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Известия», 30.09.2002;«Известия»;;2002.09.30;газета;ПК письменных текстов;manual;;1
vest-ginzburg;В. Л. Гинзбург, И. Л. Фабелинский;муж;;К истории открытия комбинационного рассеяния света;2003;учебно-научная|нехудожественная;;статья;наука и технологии|физика;;специальный;н-возраст;высокий;средняя;«Вестник РАН», том 73, 2003, № 3 -- vivovoco.rsl.ru/;«Вестник РАН»;;2003;журнал;ПК письменных текстов;manual;;2
vremya;В. Н. Комаров;муж;;Тайны пространства и времени;1995-2000;учебно-научная|нехудожественная;;монография;наука и технологии|физика;;нейтральный;н-возраст;н-уровень;большая;http://lib.canmos.ru;Комаров В.Н. Тайны пространства и времени;Вече;2000;книга;ПК письменных текстов;manual;;2
443973;Юрий Комаров;муж;;Горько!;2003;публицистика|нехудожественная;;статья;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;«Сад своими руками», 15.09.2003;«Сад своими руками»;;2003.09.15;газета;ПК письменных текстов;manual;;1
422786;Юлия Ефимова;жен;;Пшеница -- хит сезона на продовольственном рынке;2002;публицистика|нехудожественная;;заметка;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;средняя;«Финансовая Россия», 2002.09.19;«Финансовая Россия»;;2002.09.19;газета;ПК письменных текстов;manual;;1
18010038;Муса Мурадов;муж;;Грозный ждет хозяина;2000;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 2000, № 42;«Коммерсантъ-Власть»;;2000;журнал;ПК письменных текстов;manual;;1
issue_2095;;;;Интеллектуальные игры «З-С»: Ответы на викторину «Привычные заблуждения;2003;учебно-научная|нехудожественная;;игра;досуг, зрелища и развлечения;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
24031;;;;Камал Абдуллаев: «Мы русский язык не потеряем никогда»;2002;публицистика|нехудожественная;;интервью;наука и технологии;;нейтральный;н-возраст;н-уровень;большая;«Известия», 18.09.2002;«Известия»;;2002.09.18;газета;ПК письменных текстов;manual;;1
issue_2305;;;;Изучая толчки Земли;2003;публицистика|нехудожественная;;заметка;наука и технологии|геология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 8;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2303;;;;Духи фараонов воссозданы;2003;публицистика|нехудожественная;;заметка;наука и технологии|история;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 8;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
macbeth;Ю. О. Домбровский;муж;1909;Леди Макбет;1970;художественная;нежанровая проза;рассказ;;Россия/СССР: 1930-е|Россия/СССР: 1946-1952;нейтральный;н-возраст;н-уровень;большая;Домбровский Ю.О. Собр. соч.: В 6 т. Т. 3. М.: Терра, 1992;Домбровский Ю.О. Собр. соч.: В 6 т. Т.3. ;Терра;1992;книга;ПК письменных текстов;manual;;3
issue_2411;Эдуард Вирапян;муж;;Разорванный маршрут;2003;публицистика|нехудожественная;;заметка;наука и технологии|история;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 10;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2415;;;;Зеркало для героя;2003;публицистика|нехудожественная;;заметка;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 10;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
331569;;;;Новости;2003;публицистика|нехудожественная;;заметка;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Бухгалтерский учет», 08.12.2003;«Бухгалтерский учёт»;;2003.12.08;журнал;ПК письменных текстов;manual;;1
10977929;;;;Махровая история;2002;публицистика|нехудожественная;;заметка;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.09.2002;«Домовой»;;2002.09.04;журнал;ПК письменных текстов;manual;;1
gorin_21;Григорий Горин;муж;1940;Иронические мемуары;1990-1998;художественная;юмор и сатира;мемуары;;Россия/СССР: советский период;нейтральный;н-возраст;н-уровень;большая;Григорий Горин. Золотая серия юмора. М.: Вагриус, 1999;Григорий Горин. Золотая серия юмора.;«Вагриус»;1999;книга;ПК письменных текстов;manual;;3
10977923;Юлия Пешкова;жен;;Дом мод;2002;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.09.2002;«Домовой»;;2002.09.04;журнал;ПК письменных текстов;manual;;1
yun75-12-08;Б. Сергеев;муж;; Печь и  холодильник  ;1975;учебно-научная|нехудожественная;;статья;наука и технологии|природа;;нейтральный;детский;н-уровень;очень большая;Юный натуралист, 1975, №12;«Юный натуралист»;;1975;журнал;ПК письменных текстов;manual;;2
7478;Сергей Лесков;муж;;Водометом по конкурентам. Шансы российской военно-морской техники на азиатских рынках повышаются;2001;публицистика|нехудожественная;;заметка;наука и технологии;;нейтральный;н-возраст;н-уровень;большая;«Известия», 11.10.2001;«Известия»;;2001.10.11;газета;ПК письменных текстов;manual;;1
4652;Андрей Левых;муж;;Беккенбауэр снова забивает России. УЕФА назначает переигровку матча «Тироль» -- «Локомотив»;2001;публицистика|нехудожественная;;заметка;спорт;;нейтральный;н-возраст;н-уровень;большая;«Известия», 24.08.2001;«Известия»;;2001.08.24;газета;ПК письменных текстов;manual;;1
en_0805_1;Александр Огневский;муж;;Полиция зовёт нас на помощь;2003;публицистика|нехудожественная;;комментарий;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Ежедневные новости» (Владивосток), 05.08.2003;«Ежедневные новости» (Владивосток);;2003.08.05;газета;ПК письменных текстов;manual;;1
517771;В. В. Зверев, Н. В. Юминова;муж|жен;;Проблемы кори, краснухи и эпидемического паротита в Российской Федерации;2004;учебно-научная|нехудожественная;;статья;наука и технологии|здоровье и медицина;;специальный;н-возраст;высокий;средняя;«Вопросы вирусологии», 03.05.2004;«Вопросы вирусологии»;;2004.05.03;журнал;ПК письменных текстов;manual;установить дату создания;1
518192;;;;Потребительские запасы -- сущность и подход к анализу;2004;учебно-научная|нехудожественная;;статья;наука и технологии|бизнес, коммерция, экономика, финансы;;специальный;н-возраст;н-уровень;средняя;Вопросы статистики,2004,N008;«Вопросы статистики»;;2004;журнал;ПК письменных текстов;manual;;2
00058141;;;;Аксессуары: Деньги - время;2002;публицистика|нехудожественная;;статья;производство;;нейтральный;н-возраст;н-уровень;большая;«Автопилот», 15.04.2002;«Автопилот»;;2002.04.15;журнал;ПК письменных текстов;manual;;1
527902;;;;Тверской Иван Купала;2004;публицистика|нехудожественная;;статья;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;Народное творчество, 2004, №1;«Народное творчество»;;2004;журнал;ПК письменных текстов;manual;;1
449448;;;;И вновь заледенела полоса;2003;публицистика|нехудожественная;;заметка;техника;;нейтральный;н-возраст;н-уровень;большая;«Марийская правда» (Йошкар-Ола), 15.01.2003;«Марийская правда» (Йошкар-Ола);;2003.01.16;газета;ПК письменных текстов;manual;;1
449447;;;;Песни при аншлаге;2003;публицистика|нехудожественная;;заметка;досуг, зрелища и развлечения;;нейтральный;н-возраст;н-уровень;большая;«Марийская правда» (Йошкар-Ола), 15.01.2003;«Марийская правда» (Йошкар-Ола);;2003.01.15;газета;ПК письменных текстов;manual;;1
natura;Ю. Н. Карпун;муж;;Природа района Сочи;1997;учебно-научная|нехудожественная;;монография;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;средняя;Ю. Н. Карпун. Природа района Сочи. Рельеф, климат, растительность. (Природоведческий очерк). Сочи. 1997. 16 с.;Карпун Ю. Н. Природа района Сочи. Рельеф, климат, растительность. (Природоведческий очерк);;1997;книга;ПК письменных текстов;manual;;2
518178;;;;Снижение масштабов внутренней миграции населения в России: опыт оценки динамики по данным текущего учета;2004;учебно-научная|нехудожественная;;статья;наука и технологии|бизнес, коммерция, экономика, финансы;;специальный;н-возраст;н-уровень;средняя;Вопросы статистики,2004,N007;«Вопросы статистики»;;2004;журнал;ПК письменных текстов;manual;;2
14620;;;;Детский сад;2002;реклама|нехудожественная;;анонс;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Известия», 14.02.2002;«Известия»;;2002.02.14;газета;ПК письменных текстов;manual;;1
12786659;Вячеслав Белаш;муж;;Организатор освобождения Палестины;1999;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 1999, № 17;«Коммерсантъ-Власть»;;1999;журнал;ПК письменных текстов;manual;;1
7;А. П. Дубров, О. Л. Силаева, В. Д. Ильичев;муж|жен;;Кот, говорящий по-азербайджански;2003;учебно-научная|нехудожественная;;статья;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;Первое сентября, 2003, № 13;«Первое сентября»;;2003;газета;ПК письменных текстов;manual;;2
okkervil;Татьяна Толстая;жен;1951;Река Оккервиль;1983;художественная;нежанровая проза;рассказ;;Россия/СССР: советский период;индивидуально-авторский;н-возраст;н-уровень;большая;http://www.tema.ru/rrr/litcafe/tolstaya;;;;книга;ПК письменных текстов;manual;;3
netkan;;;;Еще раз о гидроструйной технологии нетканых медицинских полотен;2002;учебно-научная|нехудожественная;;статья;наука и технологии|производство|легкая и пищевая промышленность;;специальный;н-возраст;н-уровень;большая;«Текстиль», 2002, 1 (1);«Текстиль»;;2002;журнал;ПК письменных текстов;manual;;2
422791;Андрей Ковалев;муж;;Комар и Меламид опять выкомаривают;2002;публицистика|нехудожественная;;заметка;искусство и культура;;нейтральный;н-возраст;н-уровень;средняя;«Финансовая Россия», 2002.09.19;«Финансовая Россия»;;2002.09.19;газета;ПК письменных текстов;manual;;1
noch;Татьяна Толстая;жен;1951;Ночь;1983;художественная;нежанровая проза;рассказ;;Россия/СССР: советский период;индивидуально-авторский;н-возраст;н-уровень;большая;http://www.tema.ru/rrr/litcafe/tolstaya;;;;книга;ПК письменных текстов;manual;;3
issue_1971;;;;Мозг реагирует на грозу;2003;публицистика|нехудожественная;;заметка;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 1;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_1976;Рафаил Нудельман;муж;;Тайны вечных книг: ученые исследуют Коран;2003;учебно-научная|нехудожественная;;статья;религия;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 1;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
24736;Александр Лобжанидзе, Александр Чуйков;муж;;Грузия отдает России 5 из 13 боевиков;2002;публицистика|нехудожественная;;комментарий;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Известия», 04.10.2002;«Известия»;;2002.10.04;газета;ПК письменных текстов;manual;изменить topic;1
roadflat;Сергей Довлатов;муж;1941;Дорога в новую квартиру;1987;художественная;нежанровая проза;рассказ;;Россия/СССР: 1960-1980-е;нейтральный;н-возраст;н-уровень;большая;http://www.dovlatov.newmail.ru/biblio-1-2.html;Собрание прозы в 3 т. Т.2;Лимбус-пресс;1993;книга;ПК письменных текстов;manual;;1
00066009;;;;Автоответчик;2002;публицистика|нехудожественная;;комментарий;техника;;нейтральный;н-возраст;н-уровень;большая;«Автопилот», 15.07.2002;«Автопилот»;;2002.07.15;журнал;ПК письменных текстов;manual;;1
402579;;;;Эффект ротации;2003;публицистика|нехудожественная;;интервью;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Поиск», 12.09.2003;«Поиск»;;2003.09.12;газета;ПК письменных текстов;manual;;1
issue_2081;Вячеслав Шевченко;муж;;Демон науки: Космический кубок;2003;публицистика|нехудожественная;;статья;наука и технологии;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2080;;;;Плачьте на здоровье;2003;публицистика|нехудожественная;;заметка;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
402575;;;;Радиоэхо;2003;публицистика|нехудожественная;;статья;искусство и культура;;нейтральный;н-возраст;высокий;большая;«Поиск», 12.09.2003;«Поиск»;;2003.09.12;газета;ПК письменных текстов;manual;;1
402573;;;;Опять зовут за океан;2003;публицистика|нехудожественная;;заметка;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Поиск», 12.09.2003;«Поиск»;;2003.09.12;газета;ПК письменных текстов;manual;;1
issue_2311;Игорь Лалаянц;муж;;Детектор лжи на молекулярном уровне? Завтра, завтра… послезавтра!;2003;учебно-научная|нехудожественная;;статья;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 8;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
519165;;;;Содружество Независимых Государств;2004;официально-деловая|нехудожественная;;хроника;политика и общественная жизнь;;официальный;н-возраст;высокий;средняя;«Дипломатический вестник», 2004, № 6;«Дипломатический вестник»;;2004;журнал;ПК письменных текстов;manual;;1
issue_2409;;;;В фокусе открытий;2003;публицистика|нехудожественная;;заметка;наука и технологии|естествознание;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 10;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_2404;;;;Тропическое дерево съедает загрязнение;2003;публицистика|нехудожественная;;заметка;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 10;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
issue_1998;;;;Homo играющий: Было или не было?;2003;учебно-научная|нехудожественная;;игра;досуг, зрелища и развлечения;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
en_0117_1;Ляна Шарова;жен;;Трассовики;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Ежедневные новости» (Владивосток), 17.01.2003;«Ежедневные новости» (Владивосток);;2003.01.17;газета;ПК письменных текстов;manual;;1
aif_0122_8;Вероника Сивкова, Максим Хуторной;жен;;Долги-2003: почему мы возвращаем, а нам - нет;2003;публицистика|нехудожественная;;интервью;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 22.01.2003;«Аргументы и факты»;;2003.01.22;газета;ПК письменных текстов;manual;;1
aif_0122_3;Александр Градов;муж;;«Медведи» залили партийный фундамент;2003;публицистика|нехудожественная;;интервью;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 22.01.2003;«Аргументы и факты»;;2003.01.22;газета;ПК письменных текстов;manual;;1
aif_0122_7;;;;Хлеборобов опять обманули;2003;публицистика|нехудожественная;;письмо;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 22.01.2003;«Аргументы и факты»;;2003.01.22;газета;ПК письменных текстов;manual;;1
aif_0122_4;Галина Коренева;жен;;Голодный учитель-позор для России!;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Аргументы и факты», 22.01.2003;«Аргументы и факты»;;2003.01.22;газета;ПК письменных текстов;manual;;1
issue_2012;Александр Волков;муж;;Миры Стивена Хоукинга;2003;публицистика|нехудожественная;;статья;наука и технологии|физика;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
331585;;;;Польские продовольственные товары на российском рынке;2002;публицистика|нехудожественная;;статья;бизнес, коммерция, экономика, финансы;;нейтральный;н-возраст;н-уровень;большая;«Внешняя торговля», 29.03.2002;«Внешняя торговля»;;2002.03.29;журнал;ПК письменных текстов;manual;;1
issue_2406;;;;С аквалангом в аптеку!;2003;публицистика|нехудожественная;;заметка;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;http://www.znanie-sila.ru/ «Знание - сила», 2003, № 10;«Знание -- сила»;;2003;журнал;ПК письменных текстов;manual;;2
08797407;Алексей Вилькен;муж;;Рецепт чиновника;1998;публицистика|нехудожественная;;интервью;здоровье и медицина|политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 1998, № 5;«Коммерсантъ-Власть»;;1998;журнал;ПК письменных текстов;manual;;1
519547;А. И. Григорьев;муж;;О переносе энергии и формировании электрического тока в окрестности опущенного в электролит, сильно нагретого протекающим током электрода;2004;учебно-научная|нехудожественная;;аннотация;наука и технологии|физика;;специальный;н-возраст;высокий;средняя;Журнал технической физики, 2004, №5;«Журнал технической физики»;;2004;журнал;ПК письменных текстов;manual;;2
23132;Алексей Володин;муж;;Чечевичная похлебка. «Мумий Тролль» выступит в Лужниках;2002;публицистика|нехудожественная;;статья;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Известия», 29.08.2002;«Известия»;;2002.08.29;газета;ПК письменных текстов;manual;;1
457208;;;;Всегда в поиске;2001;публицистика|нехудожественная;;заметка;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Наука в Сибири» (Новосибирск), 07.03.2001;«Наука в Сибири» (Новосибирск);;2001.03.07;газета;ПК письменных текстов;manual;;1
10973928;Анна Варшавская;жен;;Дар не случайный;2002;публицистика|нехудожественная;;статья;здоровье и медицина;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.02.2002;«Домовой»;;2002.02.04;журнал;ПК письменных текстов;manual;;1
